ETF代码,ETF名称,基金规模,next_crawl_index
513170,恒生央企ETF鹏华,3.37202957,440
512180,MSCIA股ETF建信,0.85861776,440
159005,快钱ETF汇添富,1.16200162,440
159003,招商快线ETF,1.957719,440
159001,货币ETF易方达,17.74107041,440
510600,上证50ETF申万菱信,0.45275463,440
159315,黄金股ETF工银,3.09738733,440
515160,MSCI中国ETF招商,4.26559984,440
159519,港股国企ETF国泰,1.27575086,440
562890,A50ETF嘉实,3.01960624,440
515310,沪深300ETF汇添富,3.47625186,440
517400,黄金股ETF国泰,12.92627456,440
562810,上证指数增强ETF嘉实,0.47934435,440
530580,上证180ETF南方,0.73439949,440
530080,上证180ETF天弘,0.45740163,440
512250,A50ETF招商,1.98172729,440
159300,沪深300ETF富国,8.09203758,440
563520,沪深300ETF永赢,4.99904845,440
530800,上证180ETF银华,0.17567627,440
159913,深价值ETF交银,0.55827453,440
516910,物流ETF富国,0.75307697,440
159100,巴西ETF华夏,5.12274388,440
530060,上证指数ETF易方达,1.76109123,440
520830,沙特ETF华泰柏瑞,11.26718821,440
562600,医疗器械ETF华夏,4.05367551,440
159855,影视ETF银华,1.35112923,440
